Alder	Kvinner	Lonn	Studerer	Karakter	UtdanningForelder	IntervjuerKvinner	IntervjuerNavn	Studerer_omk	UtdanningForelder_omk
24	1	450000	revisjon	4	hoyere utdanning	1	Dina	RevisjonRegnskap	1
22	0	400000	okonomi	4	videregaende	1	Dina	AdministrasjonOkonomiLedelse	0
19	1	400000	okonomi	4	videregaende	1	Dina	AdministrasjonOkonomiLedelse	0
23	0	500000	internasjonal kommunikasjon	4	hoyere utdanning	1	Dina	Markedsforing	1
21	0	700000	internasjonal kommunikasjon	3	videregaende	1	Dina	Markedsforing	0
21	0	500000	internasjonal kommunikasjon	5	videregaende	1	Dina	Markedsforing	0
26	1	400000	laerer 	5	videregaende	1	Dina	Laerer	0
21	1	400000	laerer 	5	videregaende	1	Dina	Laerer	0
22	0	300000	laerer 	4	videregaende	1	Dina	Laerer	0
20	0	450000	laerer 	5	hoyere utdanning	1	Dina	Laerer	1
29	1	600000	okonomi	5	hoyere utdanning	1	Dina	AdministrasjonOkonomiLedelse	1
35	0	500000	okonomi	5	hoyere utdanning	1	Dina	AdministrasjonOkonomiLedelse	1
20	1	400000	laerer 	5	hoyere utdanning	1	Dina	Laerer	1
44	0	600000	revisjon	4	videregaende	1	Dina	RevisjonRegnskap	0
22	0	325000	Laerer	2	Agronom	1	Susann	Laerer	1
20	0	650000	Revisjon	4	Revisor	1	Susann	RevisjonRegnskap	1
25	0	400000	Revisjon	5	NA	1	Susann	RevisjonRegnskap	NA
20	0	450000	Revisjon	NA	Bilmekaniker	1	Susann	RevisjonRegnskap	0
22	0	800000	Dataingenior	3	Grafisk design	1	Susann	Ingenior	1
21	1	450000	Revisjon	4	Sykepleier	1	Susann	RevisjonRegnskap	1
19	1	500000	Int.Kom	5	Laerer	1	Susann	Markedsforing	1
19	1	450000	Int.Kom	4	Sykepleier	1	Susann	Markedsforing	1
20	0	900000	Int.Kom	3	Sykepleier	1	Susann	Markedsforing	1
22	0	500000	Int.Kom	5	NA	1	Susann	Markedsforing	NA
24	0	550000	Int.Kom	4	Sykepleier	1	Susann	Markedsforing	1
41	1	500000	Laerer	NA	Hjelpepleier	1	Susann	Laerer	1
43	1	600000	Laerer	NA	NA	1	Susann	Laerer	NA
21	0	450000	Laerer	3	Prosessoperat?r	1	Susann	Laerer	1
26	0	650000	Ingenior	5	vernepleier	1	Susann	Ingenior	1
20	0	1000000	Ingenior	5	Hoyere utd.	1	Susann	Ingenior	1
28	0	1350000	Ok/Statsv./IT	6	Adjunkt	1	Susann	AdministrasjonOkonomiLedelse	1
20	0	1500000	Sivil okonom	5	bio ingenior	1	Susann	AdministrasjonOkonomiLedelse	1
35	1	500000	ok.ad	6	Intensivsykepleier	1	Susann	AdministrasjonOkonomiLedelse	1
19	0	1000000	mattematisk finans	4	hoyere utdanning	0	Jorn	Realfag	1
23	1	580000	?konomi og ledelse	4	videregaende	0	Jorn	AdministrasjonOkonomiLedelse	0
19	1	700000	?konomi og ledelse	5	prest	0	Jorn	AdministrasjonOkonomiLedelse	1
19	0	630000	jus	4	videregaende	0	Jorn	RevisjonRegnskap	0
20	1	500000	psykologi	5	handelshoyskole	0	Jorn	Samfunn	1
19	0	800000	?konomi	5	master	0	Jorn	AdministrasjonOkonomiLedelse	1
26	1	380000	l?rer	4	videregaende	0	Jorn	Laerer	0
19	1	650000	tannpleie	6	master	0	Jorn	HelseSosial	1
20	0	500000	sosialantropologi	5	ingenior	0	Jorn	Samfunn	1
19	1	650000	tannpleie	5	pianist	0	Jorn	HelseSosial	1
19	1	700000	byggingenior	6	byggingenior	0	Jorn	Ingenior	1
19	0	2000000	byggingenior	6	bachelor	0	Jorn	Ingenior	1
