"PARTIVLG" "skyldigfri" "merpoliti" "burinne" "overvak" "ransak" "bunnsamfunn" "utdanning" "mann" "alder"
"Fremskrittspartiet (FrP)" 1 0 2 2 2 7 1 1 24
"Fremskrittspartiet (FrP)" 0 2 3 3 3 5 4 1 50
"Høyre (H)" 0 2 1 3 3 6 3 1 44
"Høyre (H)" 0 1 1 3 2 NA 1 0 68
"Fremskrittspartiet (FrP)" NA 0 1 2 NA 8 5 0 40
"Fremskrittspartiet (FrP)" 0 0 3 3 3 5 1 1 19
"Fremskrittspartiet (FrP)" 0 2 3 2 1 4 NA 0 57
"Fremskrittspartiet (FrP)" 0 2 NA 3 3 3 NA 0 57
"Fremskrittspartiet (FrP)" 0 0 2 2 2 2 1 1 49
"Fremskrittspartiet (FrP)" 0 1 3 3 3 5 1 1 57
NA NA NA NA NA NA NA NA NA NA
"Høyre (H)" 0 0 1 3 2 3 5 0 42
"Høyre (H)" 0 1 0 3 2 4 1 1 49
"Fremskrittspartiet (FrP)" 0 1 3 3 2 5 3 1 38
"Høyre (H)" 0 1 1 2 0 3 1 0 72
"Høyre (H)" 0 2 1 3 1 4 4 1 67
"Høyre (H)" 0 1 2 3 2 5 4 0 50
"Fremskrittspartiet (FrP)" 0 0 1 2 0 5 1 0 24
"Høyre (H)" 0 0 1 2 1 4 4 0 36
"Fremskrittspartiet (FrP)" 0 1 2 3 3 4 3 1 56
"Fremskrittspartiet (FrP)" 0 2 2 3 3 4 4 1 35
"Høyre (H)" 0 1 2 2 2 5 4 0 33
"Fremskrittspartiet (FrP)" 0 1 1 2 1 4 2 0 35
"Høyre (H)" 0 1 2 3 3 5 3 1 56
"Høyre (H)" 0 1 1 3 1 3 4 1 61
"Høyre (H)" 0 1 2 3 2 4 4 1 76
"Høyre (H)" 0 1 3 3 3 4 2 0 60
"Høyre (H)" 0 0 1 2 2 5 5 0 51
"Høyre (H)" 0 1 2 2 2 5 3 1 49
NA NA NA NA NA NA NA NA NA NA
"Høyre (H)" 0 1 2 3 2 4 4 0 55
"Høyre (H)" 0 1 1 1 1 6 NA 0 79
"Høyre (H)" 0 0 1 3 3 4 4 0 43
"Høyre (H)" 1 1 1 3 1 2 4 1 69
"Fremskrittspartiet (FrP)" 0 0 1 3 2 3 5 1 42
"Høyre (H)" 0 1 0 2 2 4 5 0 32
"Høyre (H)" 0 1 1 2 1 6 NA 0 77
"Høyre (H)" 0 1 1 2 0 3 3 0 56
"Høyre (H)" 0 1 3 2 1 4 4 0 53
"Fremskrittspartiet (FrP)" 0 1 NA NA NA 4 4 0 71
"Høyre (H)" 0 0 1 2 0 2 1 0 22
"Fremskrittspartiet (FrP)" 0 2 3 3 3 5 1 0 58
"Fremskrittspartiet (FrP)" 0 1 3 3 3 3 3 1 49
"Høyre (H)" 0 1 2 1 0 5 1 1 62
"Fremskrittspartiet (FrP)" 0 1 2 3 3 6 4 1 61
"Høyre (H)" 0 1 0 3 3 5 1 1 43
"Høyre (H)" 1 2 2 2 2 5 1 1 42
"Fremskrittspartiet (FrP)" 0 1 3 3 2 5 1 0 60
"Fremskrittspartiet (FrP)" 0 2 3 3 3 3 1 1 51
"Høyre (H)" 0 1 0 1 1 5 2 0 47
"Fremskrittspartiet (FrP)" NA 2 0 2 0 7 2 1 76
"Fremskrittspartiet (FrP)" 0 1 1 2 1 6 4 1 70
"Høyre (H)" NA 1 1 1 1 6 3 0 38
"Høyre (H)" 0 1 0 3 3 4 5 1 56
"Høyre (H)" 0 1 0 3 2 3 3 1 59
"Fremskrittspartiet (FrP)" 0 2 1 3 0 5 1 0 44
"Fremskrittspartiet (FrP)" 0 0 2 2 2 5 2 1 63
"Fremskrittspartiet (FrP)" 0 1 0 3 3 3 3 0 61
"Høyre (H)" 0 0 3 2 2 5 1 0 20
"Fremskrittspartiet (FrP)" 0 1 3 3 3 3 5 1 73
"Fremskrittspartiet (FrP)" 0 2 3 3 3 4 3 1 35
"Høyre (H)" 0 1 1 2 0 4 1 1 25
"Fremskrittspartiet (FrP)" 0 1 1 2 2 3 5 1 78
NA NA NA NA NA NA NA NA NA NA
"Fremskrittspartiet (FrP)" 0 1 2 3 2 4 3 1 74
"Fremskrittspartiet (FrP)" 0 2 3 3 3 2 1 0 65
"Fremskrittspartiet (FrP)" 1 0 NA NA NA 3 1 1 26
"Fremskrittspartiet (FrP)" 0 1 2 3 3 3 1 1 62
"Fremskrittspartiet (FrP)" 0 2 0 1 0 5 3 1 24
"Høyre (H)" 0 0 0 2 2 4 2 0 32
"Fremskrittspartiet (FrP)" 0 1 2 3 2 4 3 1 57
"Høyre (H)" 0 1 3 1 0 8 1 1 37
"Fremskrittspartiet (FrP)" 0 1 2 3 2 7 1 0 75
"Fremskrittspartiet (FrP)" 0 2 3 3 3 3 2 1 47
"Høyre (H)" 0 1 1 1 0 4 3 0 40
"Høyre (H)" 0 1 0 3 3 4 4 1 42
"Høyre (H)" 0 0 0 2 0 5 5 1 41
"Fremskrittspartiet (FrP)" 0 2 3 3 3 5 NA 0 39
"Høyre (H)" 0 1 1 3 3 2 5 0 30
"Fremskrittspartiet (FrP)" 0 2 3 2 NA 4 4 0 25
"Fremskrittspartiet (FrP)" 0 2 3 3 3 6 4 1 75
"Høyre (H)" 0 1 0 3 3 2 4 1 42
"Høyre (H)" 0 2 0 1 1 5 4 0 28
"Høyre (H)" 0 0 0 3 2 5 4 1 30
"Høyre (H)" 0 1 0 0 2 4 5 1 32
"Fremskrittspartiet (FrP)" NA 0 3 3 1 5 3 1 44
"Høyre (H)" 0 1 0 2 2 3 5 1 34
"Høyre (H)" 0 1 2 2 2 3 1 1 52
"Høyre (H)" 0 0 0 2 0 2 5 1 63
"Høyre (H)" 0 1 1 3 3 3 4 0 31
